iter	Logloss
0	0.679911289
1	0.6679712058
2	0.652530184
3	0.640149847
4	0.6313955364
5	0.6231486253
6	0.6137241509
7	0.6050754929
8	0.5948059199
9	0.5883584801
10	0.5775971289
11	0.5731276538
12	0.567499708
13	0.5608927891
14	0.5549971364
15	0.5508079032
16	0.5449665618
17	0.539234075
18	0.5327406443
19	0.5288866542
20	0.5254013448
21	0.5223476723
22	0.5195756319
23	0.51614759
24	0.5129947106
25	0.5093339037
26	0.505645997
27	0.5000027845
28	0.4952584534
29	0.490800536
30	0.487058965
31	0.4832719938
32	0.4806881086
33	0.4769822577
34	0.4743121842
35	0.4717993526
36	0.4688059816
37	0.4664550772
38	0.463325891
39	0.4610063436
40	0.4583272827
41	0.4552601769
42	0.4512568876
43	0.4483213323
44	0.4455692536
45	0.4421868212
46	0.4404885499
47	0.4376042458
48	0.435168044
49	0.4337120376
50	0.4323692509
51	0.4316696281
52	0.4295434833
53	0.4278356872
54	0.4260667168
55	0.423249321
56	0.4207598533
57	0.4168742594
58	0.4151047896
59	0.4121570101
60	0.4096698734
61	0.4082491998
62	0.4070298405
63	0.4054978643
64	0.4036809439
65	0.4013184527
66	0.3996223952
67	0.3973491015
68	0.3957159269
69	0.3922648268
70	0.3898323692
71	0.3876329553
72	0.3863277236
73	0.3848877302
74	0.3819203891
75	0.3799678639
76	0.3793371907
77	0.3774919694
78	0.375409746
79	0.3729150227
80	0.3716376411
81	0.3694898699
82	0.3671681828
83	0.3657858738
84	0.3640070972
85	0.3623756291
86	0.3612578619
87	0.3596161472
88	0.3580419044
89	0.3565724526
90	0.3540693494
91	0.3524186061
92	0.3510965917
93	0.3493444667
94	0.3469447298
95	0.3454313125
96	0.343474044
97	0.3418464305
98	0.3405968464
99	0.3394949047
100	0.3381905816
101	0.3371827367
102	0.3354281345
103	0.3339993509
104	0.3323765247
105	0.330916257
106	0.330066346
107	0.3280241708
108	0.32682238
109	0.3259175769
110	0.324483348
111	0.3224943911
112	0.3209561576
113	0.3194032653
114	0.3181253775
115	0.3165294205
116	0.3144958897
117	0.3125715959
118	0.3118393289
119	0.3107501375
120	0.3091218582
121	0.3076279812
122	0.3060828103
123	0.3034717539
124	0.3023980553
125	0.3009753185
126	0.2996155698
127	0.2982064955
128	0.2958358605
129	0.2937621806
130	0.2919538842
131	0.2907311745
132	0.2890114913
133	0.2876545088
134	0.2857416121
135	0.2838752704
136	0.2823479349
137	0.2809607343
138	0.2797228065
139	0.2780598351
140	0.2768480209
141	0.2757061446
142	0.2746335005
143	0.2730090597
144	0.2722396134
145	0.270583775
146	0.2697777844
147	0.2679102254
148	0.2666020431
149	0.2646741573
150	0.2628719461
151	0.2615346956
152	0.2596133234
153	0.2580288809
154	0.2565489942
155	0.2554002338
156	0.2534939416
157	0.2521550189
158	0.2507295697
159	0.2489334116
160	0.247384773
161	0.2450070641
162	0.2436716531
163	0.2424259705
164	0.2409478738
165	0.2387249736
166	0.237490835
167	0.2362091079
168	0.2345917555
169	0.2335141781
170	0.2322308595
171	0.2303088238
172	0.2295057685
173	0.2279636435
174	0.2264140793
175	0.2251184762
176	0.2231628088
177	0.2215799994
178	0.2199908508
179	0.2183159107
180	0.2168974142
181	0.2160485393
182	0.2150065439
183	0.2139143469
184	0.2127465473
185	0.2112741312
186	0.2102273607
187	0.2091264007
188	0.2081237245
189	0.2069709156
190	0.2055820373
191	0.2041138189
192	0.2034640427
193	0.202132403
194	0.2013604403
195	0.1999868016
196	0.1985733677
197	0.1974021657
198	0.1963910439
199	0.1948621382
200	0.1939155014
201	0.192994757
202	0.1917982362
203	0.190576494
204	0.1890859611
205	0.1879501314
206	0.1862071658
207	0.1851500517
208	0.184176246
209	0.1833194327
210	0.1823700674
211	0.1810669207
212	0.1796705872
213	0.1787387483
214	0.1777181212
215	0.1759018101
216	0.174591197
217	0.1732713499
