iter	Logloss
218	0.1723671717
219	0.1710115036
220	0.1702447786
221	0.1694507082
222	0.1687230016
223	0.1678232997
224	0.1668367029
225	0.1658501495
226	0.1647419113
227	0.1636319264
228	0.1627458657
229	0.1619038913
230	0.1607792478
231	0.1595797385
232	0.1586467705
233	0.1579116052
234	0.1571046412
235	0.1563894654
236	0.155317631
237	0.1542503677
238	0.1535510908
239	0.1528399845
240	0.1516513529
241	0.1509523547
242	0.1503091465
243	0.14908294
244	0.1480480041
245	0.1472328537
246	0.1465405826
247	0.1456514071
248	0.1448332367
249	0.1439826032
250	0.1432274318
251	0.1424634602
252	0.1417928126
253	0.1413212321
254	0.1405421872
255	0.1394592613
256	0.1388972467
257	0.1379974853
258	0.1371754266
259	0.1366889175
260	0.1360295053
261	0.1354230781
262	0.1348297931
263	0.134033346
264	0.1329147104
265	0.1322222916
266	0.1316212523
267	0.1311008151
268	0.1306153282
269	0.1300610747
270	0.1290549293
271	0.1282369694
272	0.1276318624
273	0.1269893183
274	0.1263108361
275	0.1259297978
276	0.1252305487
277	0.1245874295
278	0.1239414287
279	0.1232613033
280	0.1228431221
281	0.1226145218
282	0.1219777332
283	0.1214528146
284	0.1209411333
285	0.1202008646
286	0.1195668542
287	0.1188132542
288	0.118349675
289	0.1179270417
290	0.1173857372
291	0.1166816721
292	0.1156919934
293	0.1150842683
294	0.1146430686
295	0.1142403189
296	0.1136172181
297	0.1130604224
298	0.1124569534
299	0.1120839068
300	0.1114596068
301	0.1108235563
302	0.110121631
303	0.109554232
304	0.10905182
305	0.1085091837
306	0.1077132105
307	0.107198105
308	0.106710875
309	0.1062692616
310	0.1056109231
311	0.1051589486
312	0.1049396725
313	0.1042723073
314	0.1037528166
315	0.1031649761
316	0.1024882195
317	0.1018318047
318	0.1014419611
319	0.1009497242
320	0.1004772019
321	0.09991865706
322	0.09905653017
323	0.09831391336
324	0.09788661272
325	0.09723030343
326	0.09685071751
327	0.09618392574
328	0.09588364703
329	0.09553449103
330	0.09518356269
331	0.09485041475
332	0.0944196502
333	0.0937077361
334	0.09300509223
335	0.09237693292
336	0.09170792482
337	0.09119700155
338	0.0908000307
339	0.09041147311
340	0.09006226174
341	0.08968237064
342	0.08928172219
343	0.08896792715
344	0.08869299879
345	0.0882647154
346	0.08799821225
347	0.08766990482
348	0.08722575213
349	0.08658739485
350	0.08625728468
351	0.08569401642
352	0.08527372383
353	0.08477253414
354	0.084421944
355	0.08394985952
356	0.0833776953
357	0.08306378291
358	0.08254809194
359	0.0820926497
360	0.08172589279
361	0.08131860429
362	0.08080512975
363	0.08047334386
364	0.08005691155
365	0.07962862249
366	0.07911874447
367	0.07877078365
368	0.07831677738
369	0.07794535948
370	0.07768342116
371	0.07722803984
372	0.07698774795
373	0.07653246835
374	0.07607885695
375	0.07575996008
376	0.07545847724
377	0.07497648518
378	0.07459802827
379	0.07428811743
380	0.07401705404
381	0.07366131498
382	0.07317339538
383	0.07276623123
384	0.07236169378
385	0.07203376811
386	0.07182195535
387	0.07135820549
388	0.07115705718
389	0.07088508645
390	0.07058855271
391	0.07013539819
392	0.0698007124
393	0.06945231075
394	0.06921896601
395	0.06905411002
396	0.06880599893
397	0.06848105506
398	0.06823017665
399	0.06796024042
